Date Time,NO (Invitado1),NO2 (Invitado1),NOx (Invitado1)
07/17/26 09:12,153.267,35.558,188.825
07/17/26 09:13,153.353,35.513,188.867
07/17/26 09:14,153.183,35.633,188.817
07/17/26 09:15,153.095,35.6,188.675
07/17/26 09:16,153.008,35.65,188.658
07/17/26 09:17,152.978,35.54,188.518
07/17/26 09:18,152.783,35.425,188.217
07/17/26 09:19,152.638,35.637,188.278
07/17/26 09:20,152.508,35.642,188.092
07/17/26 09:21,152.272,35.622,187.96
07/17/26 09:22,151.983,35.867,187.817
07/17/26 09:23,151.777,35.783,187.56
07/17/26 09:24,151.642,35.792,187.442
07/17/26 09:25,151.625,35.593,187.172
